Ligand,SMILES,LGFE(kcal/mol),LE(kcal/mol),PoseNo
Z1828978378,CCO[C@H]1C[C@@H](CCNC(=O)N2CCN(c3ncccn3)CC2)C1,-12.773,-0.532,05
Z2382304246,Cc1noc([C@H]2CN(Cc3ccc(CO)cc3)C[C@@H](C)O2)n1,-12.770,-0.580,03
Z1376297201,COc1cccc(/C=C/C(=O)N[C@H](C)CO[C@H]2CCOC2)c1,-12.764,-0.580,01
Z1275665653,CNc1cc(N2CCC[C@@H]2CNC(=O)c2cc(C(C)C)[nH]n2)ncn1,-12.756,-0.510,02
Z644653230,Cc1ccc(OC2CCN(Cc3nnc(C(C)(C)C)o3)CC2)cc1C,-12.747,-0.510,01
Z1376297201,COc1cccc(/C=C/C(=O)N[C@H](C)CO[C@H]2CCOC2)c1,-12.740,-0.579,02
Z1169856095,Cc1ccc(OCc2nc(CC(=O)NC3CCCCC3)no2)cc1C,-12.736,-0.509,03
Z1275665653,CNc1cc(N2CCC[C@@H]2CNC(=O)c2cc(C(C)C)[nH]n2)ncn1,-12.735,-0.509,03
Z2282838697,Cc1noc(CCCC(=O)NCc2cc(C3CC3)ccc2F)n1,-12.727,-0.553,01
Z275730632,COc1ccc(OCC[NH+]2CCN([C@@H](C)c3nc(C)no3)CC2)cc1,-12.719,-0.509,03
Z317633246,Cc1ccc(OCCC(=O)NCc2nnc3n2CCCCC3)cc1C,-12.716,-0.509,01
Z644653230,Cc1ccc(OC2CCN(Cc3nnc(C(C)(C)C)o3)CC2)cc1C,-12.709,-0.508,02
Z275730632,COc1ccc(OCC[NH+]2CCN([C@@H](C)c3nc(C)no3)CC2)cc1,-12.705,-0.508,04
Z821305824,Cc1cc(C)n(-c2ccc(SCc3nnc(C4CC4)o3)nn2)n1,-12.704,-0.552,05
Z401557502,CNC(=O)COc1cccc(N[C@@H](C)C(=O)Nc2cc(C)on2)c1,-12.702,-0.529,01
Z1529137232,Cc1nnc(CN2CCO[C@@H](c3cccc(OC(F)F)c3)C2)n1C,-12.691,-0.529,01
Z1169856095,Cc1ccc(OCc2nc(CC(=O)NC3CCCCC3)no2)cc1C,-12.689,-0.508,04
Z275730632,COc1ccc(OCC[NH+]2CCN([C@@H](C)c3nc(C)no3)CC2)cc1,-12.685,-0.507,05
Z2382304246,Cc1noc([C@H]2CN(Cc3ccc(CO)cc3)C[C@@H](C)O2)n1,-12.682,-0.576,04
Z644653230,Cc1ccc(OC2CCN(Cc3nnc(C(C)(C)C)o3)CC2)cc1C,-12.671,-0.507,03
Z46591104,COc1cc(OC)c(OC)cc1/C=C/C(=O)c1ccc(S(=O)(=O)N2CCC(C)CC2)cc1,-12.662,-0.396,04
Z425099474,CC(=O)c1cc2c(cc1NC(=O)CN1CC[NH+](CCSc3ccccc3)CC1)OCO2,-12.659,-0.408,02
Z2172295399,COCCCOc1cnc(-c2noc(-c3ccc(Oc4ccc(C(C)=O)cc4)cc3)n2)cn1,-12.656,-0.384,01
Z644653230,Cc1ccc(OC2CCN(Cc3nnc(C(C)(C)C)o3)CC2)cc1C,-12.639,-0.506,04
Z343284594,Cc1ccc(C(=O)CCC(=O)N2CCN(S(=O)(=O)N(C)C)CC2)cc1C,-12.637,-0.486,01
Z646148144,COc1ccc(OC2CCN(c3ncnc4c3cnn4C)CC2)cc1,-12.633,-0.505,02
Z1275665653,CNc1cc(N2CCC[C@@H]2CNC(=O)c2cc(C(C)C)[nH]n2)ncn1,-12.630,-0.505,04
Z1529137232,Cc1nnc(CN2CCO[C@@H](c3cccc(OC(F)F)c3)C2)n1C,-12.630,-0.526,02
Z223015720,Cc1ccc(NC(=O)[C@H](C)[N@H+]2CC[C@H](C(=O)c3ccccc3)CC2)cc1S(=O)(=O)N1CCOCC1,-12.627,-0.361,04
Z319217066,COc1ccccc1/C=C/C=c1/sc2nc(=O)c(Cc3ccccc3Cl)nn2c1=O,-12.627,-0.421,02
Z319217066,COc1ccccc1/C=C/C=c1/sc2nc(=O)c(Cc3ccccc3Cl)nn2c1=O,-12.626,-0.421,03
Z644653230,Cc1ccc(OC2CCN(Cc3nnc(C(C)(C)C)o3)CC2)cc1C,-12.623,-0.505,05
Z646148144,COc1ccc(OC2CCN(c3ncnc4c3cnn4C)CC2)cc1,-12.619,-0.505,03
